is_buggy,h1,h2,N1,N2,complexity,loc,lloc,sloc,comments,multi,blank,single_comments,no_of_files,no_of_added_files,no_of_added_python_files,no_of_modified_files,no_of_modified_python_files,no_of_copied_files,no_of_copied_python_files,no_of_deleted_files,no_of_deleted_python_files,author_previous_commits,author_previous_file_changes
1,0,0,0,0,0,5,3,3,1,0,1,1,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,19,0,0,19,13,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,13,0,0,13,13,0,0,0,0,0,0
1,1,2,1,2,1,1,1,1,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0
1,0,0,0,0,1,2,3,2,0,0,0,0,6,0,0,6,6,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,6,0,0,6,6,0,0,0,0,0,0
1,0,0,0,0,2,3,3,3,0,0,0,0,6,0,0,6,6,0,0,0,0,0,0
1,0,0,0,0,1,2,1,1,1,0,0,1,9,0,0,9,9,0,0,0,0,0,0
1,0,0,0,0,1,45,1,0,0,39,6,0,18,0,0,14,14,0,0,4,4,0,0
1,0,0,0,0,2,4,2,4,0,0,0,0,18,0,0,14,14,0,0,4,4,0,0
1,0,0,0,0,1,2,1,2,0,0,0,0,18,0,0,14,14,0,0,4,4,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,18,0,0,14,14,0,0,4,4,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,18,0,0,14,14,0,0,4,4,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,18,0,0,14,14,0,0,4,4,0,0
1,0,0,0,0,1,4,1,4,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,295,142,0,11,11,0,0,142,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,1,37,1,1,23,23,0,0,13,13,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,37,1,1,23,23,0,0,13,13,0,0
1,0,0,0,0,1,2,1,2,0,0,0,0,37,1,1,23,23,0,0,13,13,0,0
1,0,0,0,0,1,4,2,4,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,1,2,1,2,1,1,1,1,0,0,0,0,9,0,0,9,8,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,1,66,1,0,0,56,10,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,9,0,0,9,4,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,2,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,2,2,2,0,0,0,0,5,0,0,5,4,0,0,0,0,0,0
1,0,0,0,0,0,1,2,1,0,0,0,0,20,0,0,20,19,0,0,0,0,0,0
1,1,2,1,2,2,1,1,1,0,0,0,0,20,0,0,20,19,0,0,0,0,0,0
1,0,0,0,0,2,5,5,5,0,0,0,0,20,0,0,20,15,0,0,0,0,0,0
1,0,0,0,0,0,3,1,3,0,0,0,0,4,0,0,4,4,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0
1,0,0,0,0,2,3,2,2,1,0,0,1,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,2,2,0,0,0,0,0,0
1,6,13,8,14,8,15,10,10,4,0,1,4,4,0,0,4,2,0,0,0,0,0,0
1,1,2,1,2,1,2,2,2,0,0,0,0,224,0,0,224,224,0,0,0,0,0,0
1,1,2,1,2,1,2,2,2,0,0,0,0,224,0,0,224,224,0,0,0,0,0,0
1,0,0,0,0,1,6,2,4,2,0,0,2,224,0,0,224,224,0,0,0,0,0,0
1,0,0,0,0,2,4,4,4,0,0,0,0,224,0,0,224,224,0,0,0,0,0,0
1,0,0,0,0,1,2,1,1,2,0,0,1,37,0,0,37,33,0,0,0,0,0,0
1,1,2,1,2,2,2,1,2,0,0,0,0,9,0,0,9,9,0,0,0,0,0,0
1,0,0,0,0,1,48,1,0,0,39,9,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,48,1,0,0,39,9,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,48,1,0,0,39,9,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,48,1,0,0,39,9,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,48,1,0,0,39,9,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,0,2,0,0,2,0,0,2,23,2,2,20,9,0,0,1,1,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,2,1,2,0,0,0,0,5,0,0,5,5,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,8,4,4,4,3,0,0,0,0,0,0
1,0,0,0,0,2,2,2,2,0,0,0,0,7,0,0,7,7,0,0,0,0,0,0
1,0,0,0,0,0,3,1,3,0,0,0,0,9,0,0,9,8,0,0,0,0,0,0
1,0,0,0,0,1,27,1,0,0,26,1,0,6,0,0,6,3,0,0,0,0,0,0
1,0,0,0,0,1,3,3,3,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,5,0,0,5,4,0,0,0,0,0,0
1,4,10,6,11,5,2,2,2,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,13,1,1,7,6,0,0,5,5,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,13,1,1,7,6,0,0,5,5,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,2,2,2,2,0,0,0,0,8,0,0,8,7,0,0,0,0,0,0
1,0,0,0,0,2,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,7,0,0,7,7,0,0,0,0,0,0
1,1,2,1,2,3,14,8,9,2,0,3,2,8,0,0,2,2,0,0,6,6,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,5,0,0,1,1,0,0,4,4,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,7,0,0,7,5,0,0,0,0,0,0
1,0,0,0,0,0,2,1,1,1,0,0,1,8,0,0,1,1,0,0,7,7,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,8,0,0,1,1,0,0,7,7,0,0
1,0,0,0,0,1,57,1,0,0,52,5,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,1,57,1,0,0,52,5,0,2,0,0,2,2,0,0,0,0,0,0
1,0,0,0,0,1,62,1,0,0,50,12,0,13,0,0,10,5,0,0,3,1,0,0
1,0,0,0,0,1,16,1,0,0,14,2,0,13,0,0,10,5,0,0,3,1,0,0
1,0,0,0,0,1,16,1,0,0,14,2,0,13,0,0,10,5,0,0,3,1,0,0
1,0,0,0,0,1,2,2,2,0,0,0,0,25,0,0,25,25,0,0,0,0,0,0
1,0,0,0,0,1,7,1,0,0,5,2,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,3,1,3,0,0,0,0,7,0,0,7,7,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,1,46,0,0,46,46,0,0,0,0,0,0
1,0,0,0,0,1,7,1,7,5,0,0,0,46,0,0,46,46,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,46,0,0,46,46,0,0,0,0,0,0
1,2,4,3,4,4,9,9,9,0,0,0,0,5,0,0,5,2,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,5,0,0,5,2,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,9,0,0,9,6,0,0,0,0,0,0
1,0,0,0,0,1,12,1,0,0,10,2,0,17,0,0,17,17,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,3,0,0,3,3,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,6,0,0,0,0,0,0
1,0,0,0,0,1,21,1,0,0,18,3,0,7,0,0,5,4,0,0,2,2,0,0
1,0,0,0,0,1,12,1,0,0,10,2,0,18,0,0,18,17,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,3,4,3,6,4,3,3,3,1,0,0,0,7,0,0,7,6,0,0,0,0,0,0
1,0,0,0,0,1,3,1,3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,2,2,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,15,0,0,15,10,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,1,0,26,5,1,2,2,0,0,19,15,0,0
1,0,0,0,0,0,1,0,0,1,0,0,1,26,5,1,2,2,0,0,19,15,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,26,5,1,2,2,0,0,19,15,0,0
1,0,0,0,0,1,18,1,0,0,16,2,0,26,5,1,2,2,0,0,19,15,0,0
1,0,0,0,0,1,12,1,0,0,10,2,0,26,5,1,2,2,0,0,19,15,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,26,5,1,2,2,0,0,19,15,0,0
1,0,0,0,0,1,12,9,9,0,0,3,0,26,5,1,2,2,0,0,19,15,0,0
1,0,0,0,0,1,2,2,2,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0
1,0,0,0,0,3,21,14,14,3,0,4,3,5,0,0,5,3,0,0,0,0,0,0
1,0,0,0,0,2,2,2,2,0,0,0,0,5,0,0,5,3,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,1,5,0,0,5,3,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,1,0,0,1,5,0,0,5,3,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,5,0,0,5,3,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,5,0,0,5,3,0,0,0,0,0,0
1,0,0,0,0,1,5,4,4,1,0,0,1,5,0,0,5,3,0,0,0,0,0,0
1,0,0,0,0,1,10,5,7,1,0,2,1,5,0,0,5,3,0,0,0,0,0,0
1,0,0,0,0,1,3,3,3,0,0,0,0,109,0,0,109,108,0,0,0,0,0,0
1,0,0,0,0,1,2,2,2,0,0,0,0,109,0,0,109,108,0,0,0,0,0,0
1,0,0,0,0,1,49,1,0,0,42,7,0,7,0,0,7,6,0,0,0,0,0,0
1,3,9,6,10,10,29,18,19,4,0,6,4,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,1,123,1,0,0,101,22,0,6,0,0,6,4,0,0,0,0,0,0
1,1,2,1,2,2,3,3,3,0,0,0,0,43,0,0,43,43,0,0,0,0,0,0
1,0,0,0,0,2,8,4,8,0,0,0,0,43,0,0,43,43,0,0,0,0,0,0
1,0,0,0,0,1,95,1,0,0,90,5,0,1,0,0,1,1,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,101,0,0,101,101,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,101,0,0,101,101,0,0,0,0,0,0
1,1,2,1,2,2,5,1,5,0,0,0,0,101,0,0,101,101,0,0,0,0,0,0
1,0,0,0,0,1,10,2,10,0,0,0,0,29,0,0,28,25,0,0,1,0,0,0
1,0,0,0,0,1,35,1,0,0,32,3,0,4,0,0,4,4,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,61,0,0,61,61,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,13,0,0,13,13,0,0,0,0,0,0
1,0,0,0,0,1,21,1,0,0,16,5,0,3,0,0,3,2,0,0,0,0,0,0
1,1,2,1,2,1,1,1,1,0,0,0,0,7,0,0,7,5,0,0,0,0,0,0
1,1,2,1,2,1,2,1,1,0,0,1,0,7,0,0,7,5,0,0,0,0,0,0
1,2,3,2,3,3,10,10,8,1,0,1,1,7,0,0,7,7,0,0,0,0,0,0
1,0,0,0,0,1,90,1,0,0,77,13,0,5,0,0,5,4,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,5,0,0,5,4,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,8,0,0,8,7,0,0,0,0,0,0
1,0,0,0,0,1,2,2,2,0,0,0,0,3,0,0,3,2,0,0,0,0,0,0
1,0,0,0,0,1,1,1,1,0,0,0,0,6,0,0,6,4,0,0,0,0,0,0
1,0,0,0,0,1,2,2,2,0,0,0,0,13,0,0,13,13,0,0,0,0,0,0
1,0,0,0,0,1,38,1,0,0,31,7,0,2,0,0,2,1,0,0,0,0,0,0
1,0,0,0,0,1,16,1,16,0,0,0,0,52,0,0,52,51,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,7,0,0,7,7,0,0,0,0,0,0
1,0,0,0,0,0,1,1,1,0,0,0,0,183,0,0,183,183,0,0,0,0,0,0
1,0,0,0,0,2,2,2,2,0,0,0,0,3,0,0,2,2,0,0,1,1,0,0
